GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Framework Petclinic,org.springframework.samples.petclinic,PetclinicInitializer,59,0,0,0,11,0,5,0,5,0
Spring Framework Petclinic,org.springframework.samples.petclinic.model,NamedEntity,3,10,0,0,1,4,1,3,1,3
Spring Framework Petclinic,org.springframework.samples.petclinic.model,Specialty,0,3,0,0,0,1,0,1,0,1
Spring Framework Petclinic,org.springframework.samples.petclinic.model,PetType,0,3,0,0,0,1,0,1,0,1
Spring Framework Petclinic,org.springframework.samples.petclinic.model,Vets,0,14,0,2,0,4,0,3,0,2
Spring Framework Petclinic,org.springframework.samples.petclinic.model,Visit,10,17,0,0,4,8,3,4,3,4
Spring Framework Petclinic,org.springframework.samples.petclinic.model,BaseEntity,0,17,0,2,0,5,0,5,0,4
Spring Framework Petclinic,org.springframework.samples.petclinic.model,Person,0,17,0,0,0,7,0,5,0,5
Spring Framework Petclinic,org.springframework.samples.petclinic.model,Owner,82,56,7,3,21,19,8,11,4,10
Spring Framework Petclinic,org.springframework.samples.petclinic.model,Pet,7,58,0,2,3,18,2,10,2,9
Spring Framework Petclinic,org.springframework.samples.petclinic.model,Vet,4,41,0,2,2,10,1,6,1,5
Spring Framework Petclinic,org.springframework.samples.petclinic.service,ClinicServiceImpl,59,0,0,0,18,0,10,0,10,0
Spring Framework Petclinic,org.springframework.samples.petclinic.web,OwnerController,0,142,0,10,0,36,0,14,0,9
Spring Framework Petclinic,org.springframework.samples.petclinic.web,PetTypeFormatter,0,44,0,4,0,10,0,5,0,3
Spring Framework Petclinic,org.springframework.samples.petclinic.web,PetController,12,100,4,6,3,27,4,10,0,9
Spring Framework Petclinic,org.springframework.samples.petclinic.web,PetValidator,10,31,3,5,2,9,3,4,0,3
Spring Framework Petclinic,org.springframework.samples.petclinic.web,VisitController,0,53,0,2,0,16,0,7,0,6
Spring Framework Petclinic,org.springframework.samples.petclinic.web,VetController,0,35,0,0,0,11,0,5,0,5
Spring Framework Petclinic,org.springframework.samples.petclinic.web,CrashController,0,8,0,0,0,2,0,2,0,2
Spring Framework Petclinic,org.springframework.samples.petclinic.util,EntityUtils,29,0,6,0,5,0,4,0,1,0
Spring Framework Petclinic,org.springframework.samples.petclinic.util,CallMonitoringAspect,83,0,4,0,24,0,9,0,7,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcVisitRowMapper,27,0,0,0,6,0,2,0,2,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcPetRepositoryImpl,130,0,2,0,32,0,6,0,5,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcVetRepositoryImpl,76,0,4,0,17,0,4,0,2,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcPetRowMapper,37,0,0,0,8,0,2,0,2,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,OneToManyResultSetExtractor,129,0,28,0,35,0,17,0,3,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,OneToManyResultSetExtractor.ExpectedResults,27,0,0,0,5,0,1,0,1,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcVetRepositoryImpl.new BeanPropertyRowMapper() {...},11,0,0,0,2,0,2,0,2,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcVisitRepositoryImpl,111,0,4,0,26,0,6,0,4,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcPet,17,0,0,0,7,0,5,0,5,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcPetVisitExtractor,29,0,2,0,8,0,5,0,4,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcOwnerRepositoryImpl,183,0,6,0,43,0,10,0,7,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jpa,JpaVisitRepositoryImpl,30,0,2,0,8,0,4,0,3,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jpa,JpaOwnerRepositoryImpl,52,0,2,0,11,0,5,0,4,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jpa,JpaVetRepositoryImpl,9,0,0,0,2,0,2,0,2,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jpa,JpaPetRepositoryImpl,31,0,2,0,7,0,5,0,4,0
